campaign,site_dcm,placement,mission,date,creative,clicks,impressions,click_through_conversions,view_through_conversions,click_through_revenue,view_through_revenue
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-24,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,4,735,0,1,0,72.55
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-25,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1327,0,1,0,114.25
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-26,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,824,0,4,0,282.84
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-27,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,1146,0,1,0,54.66
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-28,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1411,0,1,0,65.05
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-29,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,875,0,1,0,50.55
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-11-30,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,1614,0,5,0,598.15
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-01,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,2,1561,0,1,0,188.16
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-02,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1317,0,1,0,52
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-03,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1561,0,1,0,100.51
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-04,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,4,1537,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-05,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1892,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-06,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,1,1278,0,1,0,65.9
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-07,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,3,1302,0,3,0,232.76
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-08,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,5,1203,0,1,0,50.68
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-09,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,3,1557,0,3,0,238.79
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-10,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,3,1127,0,2,0,165.9
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-11,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,3,1712,0,2,0,111.37
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-12,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,2,1508,0,1,0,175.5
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-13,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,2,2267,0,1,0,59.7
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-14,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,5,4571,0,5,0,499.87
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-15,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,10,8612,0,6,0,456.32
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-16,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,10,6002,0,4,0,406.07
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-17,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,6,7430,0,4,0,458.82
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-18,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,8,6291,0,7,0,574.72
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-19,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,8,7005,0,5,0,761.25
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-20,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,9,5744,0,4,0,623.45
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-21,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,7,5125,0,2,0,420.42
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-22,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,6,4423,0,3,0,127.69
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-23,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,1199,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-24,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,646,0,1,0,40.45
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-26,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,0,0,3,0,170.4
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-27,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,1,0,1,0,101.98
Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,Programmatic Trade Desk,PKW8HQ_Programmatic PHDCPMOOH ALIGNMENTProgrammatic Display 970x250,Brand,2017-12-29,Sainsburys_Scarlet_Xmas_2017_Roasties_970x250,0,0,0,4,0,256.42
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-08,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,1,15,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-12,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,29,40884,0,2,0,188.5
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-13,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,26,48272,0,5,0,294.009999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-14,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,2,0,13,0,1114.75
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-15,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,1,0,10,0,1028.78
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-16,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,2,0,117.4
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-17,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,9,39725,0,6,0,648.05
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-18,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,3,0,16,0,1366.759999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-19,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,28,45126,0,15,0,1445.53
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-20,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,5,0,22,0,2119.88
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-21,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,9,0,19,0,1862.28
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-22,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,18,0,1691.92
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-23,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,16,0,1334.01
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-24,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,11,0,829.13
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-25,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,20,38074,0,9,0,835.55
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-26,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,33,57732,0,30,0,2537.399998
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-27,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,3,0,20,0,1431.95
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-28,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,1,0,15,0,1480.06
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-29,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,16,0,1108.11
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-11-30,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,1,0,20,0,2127.04
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-01,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,9,0,765.75
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-02,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,19,38248,0,12,0,1001.46
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-03,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,6,18147,0,31,0,3149.3
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-04,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,7,17249,0,22,0,2177.37
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-05,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,7,15113,0,18,0,1496.93
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-06,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,1,0,25,0,2250.309999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-07,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,21,0,1923.3
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-08,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,16,0,1493.59
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-09,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,13,0,837.07
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-10,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,15,31030,0,18,0,2082.31
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-11,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,36,84184,0,52,0,4480.699999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-12,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,2,12,0,47,0,3839.819997
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-13,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,8,0,35,0,3571.379999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-14,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,38,0,3967.47
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-15,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,24,0,2915.03
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-16,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,24,0,2444.26
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-17,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,8,0,25,0,2460.899999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-18,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,24,50777,1,25,75.2,2667.12
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-19,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,43,108109,0,38,0,4002.149999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-20,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,2,0,59,0,7784.679999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-21,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,1,3,0,35,0,4470.919999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-22,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,14,24498,0,15,0,1862.12
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-23,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,2,0,2,0,100
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-24,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,2,0,152.59
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-25,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,4,0,387.33
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-26,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,11,0,850.18
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-27,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,15,0,1195.589999
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-28,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,14,0,1192.87
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-29,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,12,0,881.72
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-30,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,7,0,635.85
Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,Programmatic Trade Desk,PKW8HR_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 300x250,Brand,2017-12-31,Sainsburys_Scarlet_Xmas_2017_Decorations_300x250,0,0,0,3,0,150.65
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-08,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,1,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-09,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,2,20,0,0,0,0
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-12,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,11,26649,0,3,0,268.32
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-13,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,4,22378,0,6,0,593.25
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-14,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,2,0,12,0,1545.47
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-15,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,0,0,6,0,735.11
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-16,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,0,0,5,0,517.49
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-17,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,3,22634,0,12,0,1130.689999
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-18,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,2,0,7,0,494.84
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-19,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,6,24072,0,6,0,700.07
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-20,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,1,0,9,0,657.23
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-21,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,0,0,7,0,682.61
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-22,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,0,0,10,0,795.81
Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,Programmatic Trade Desk,PKW8HS_Programmatic PHDCPMTV ALIGNMENTProgrammatic Display 728x90,Brand,2017-11-23,Sainsburys_Scarlet_Xmas_2017_Decorations_728x90,0,0,0,10,0,875.88
